# tense|person(0-5)|verb|spanish with {}|english
sub_presente|4|hacer|Os pido que {} menos ruido.|I'm asking you (all) to make less noise.
sub_presente|2|estar|Ojalá {} bien.|I hope he is well.
sub_perfecto|1|terminar|Espero que {} el trabajo.|I hope you have finished the work.
sub_perfecto|5|llegar|No creo que {} todavía.|I don't think they have arrived yet.
sub_perfecto|2|ver|Me alegro de que lo {}.|I'm glad she has seen it.
sub_perfecto|3|hacer|Cuando {} la compra, cocinamos.|When we have done the shopping, we'll cook.
sub_imperfecto|0|tener|Si {} más tiempo, viajaría más.|If I had more time, I would travel more.
sub_imperfecto|1|ser|Si {} yo, no lo haría.|If you were me, you wouldn't do it.
sub_imperfecto|2|venir|Quería que {} a la fiesta.|I wanted him to come to the party.
sub_imperfecto|3|poder|Ojalá {} ir a la playa.|I wish we could go to the beach.
sub_imperfecto|5|hablar|Les pidió que {} más despacio.|He asked them to speak more slowly.
sub_imperfecto|0|saber|Si lo {}, te lo diría.|If I knew, I would tell you.
sub_imperfecto|2|estar|Habla como si {} cansado.|He talks as if he were tired.
sub_imperfecto|4|vivir|Si {} aquí, iríais a pie.|If you (all) lived here, you would go on foot.
sub_pluscuam|0|saber|Si lo {}, habría venido antes.|If I had known, I would have come earlier.
sub_pluscuam|1|estudiar|Si {} más, habrías aprobado.|If you had studied more, you would have passed.
sub_pluscuam|3|salir|Ojalá {} antes.|I wish we had left earlier.
sub_pluscuam|5|llegar|Si {} a tiempo, habrían visto el principio.|If they had arrived on time, they would have seen the beginning.
imp_afirmativo|1|venir|¡{} aquí un momento!|Come here a moment!
imp_afirmativo|1|decir|{} la verdad.|Tell the truth.
imp_afirmativo|4|cerrar|{} la puerta, por favor.|Close the door (you all), please.
imp_afirmativo|2|pasar|{}, por favor.|Come in, please. (formal)
imp_afirmativo|1|poner|{} la mesa, porfa.|Set the table, please.
imp_negativo|1|preocupar|No te {}.|Don't worry.
imp_negativo|1|decir|No se lo {} a nadie.|Don't tell anyone.
imp_negativo|4|tocar|No {} nada.|Don't (you all) touch anything.
imp_negativo|2|olvidar|No {} el pasaporte.|Don't forget your passport. (formal)
